iter	Passed	Remaining
622	93158	56373
623	93308	56224
624	93449	56069
625	93536	55882
626	93678	55729
627	93832	55582
628	93981	55432
629	94155	55297
630	94275	55131
631	94393	54963
632	94574	54832
633	94736	54690
634	94895	54546
635	95055	54402
636	95215	54259
637	95331	54090
638	95493	53948
639	95644	53800
640	95821	53666
641	96007	53536
642	96102	53356
643	96258	53211
644	96360	53035
645	96509	52885
646	96653	52733
647	96812	52589
648	96968	52443
649	97072	52269
650	97243	52132
651	97402	51987
652	97563	51844
653	97661	51668
654	97803	51514
655	97956	51367
656	98118	51224
657	98237	51059
658	98333	50882
659	98464	50723
660	98603	50569
661	98715	50401
662	98804	50221
663	98972	50082
664	99148	49947
665	99317	49807
666	99457	49654
667	99623	49513
668	99780	49368
669	99917	49213
670	100076	49068
671	100235	48924
672	100392	48778
673	100492	48606
674	100647	48459
675	100748	48287
676	100857	48119
677	101021	47977
678	101150	47819
679	101305	47673
680	101457	47525
681	101638	47391
682	101781	47239
683	101941	47095
684	102063	46934
685	102219	46788
686	102379	46644
687	102536	46498
688	102640	46329
689	102771	46172
690	102913	46020
691	103001	45844
692	103130	45687
693	103268	45533
694	103429	45390
695	103585	45244
696	103750	45102
697	103845	44930
698	103997	44782
699	104095	44612
700	104229	44457
701	104411	44322
702	104569	44177
703	104729	44034
704	104897	43893
705	105063	43751
706	105228	43609
707	105369	43457
708	105523	43310
709	105686	43167
710	105837	43019
711	105993	42873
712	106136	42722
713	106267	42566
714	106394	42408
715	106522	42251
716	106662	42099
717	106822	41955
718	106997	41816
719	107185	41683
720	107350	41540
721	107533	41404
722	107667	41250
723	107818	41101
724	107976	40956
725	108142	40813
726	108321	40676
727	108496	40537
728	108649	40389
729	108790	40237
730	108955	40094
731	109126	39953
732	109289	39809
733	109376	39637
734	109544	39495
735	109666	39336
736	109826	39191
737	109979	39044
738	110095	38883
739	110268	38743
740	110431	38598
741	110600	38456
742	110764	38312
743	110898	38158
744	111058	38013
745	111206	37863
746	111351	37713
747	111510	37567
748	111651	37416
749	111807	37269
750	111963	37122
751	112107	36971
752	112262	36824
753	112430	36681
754	112584	36534
755	112684	36369
756	112844	36223
757	113027	36085
758	113171	35934
759	113334	35789
760	113538	35658
761	113700	35512
762	113844	35361
763	113964	35203
764	114105	35051
765	114264	34906
766	114422	34759
767	114602	34619
768	114758	34472
769	114920	34326
770	115077	34180
771	115251	34038
772	115429	33897
773	115576	33747
774	115729	33598
775	115905	33457
776	116069	33312
777	116220	33163
778	116357	33010
779	116513	32862
780	116645	32708
781	116806	32562
782	117003	32426
783	117172	32282
784	117336	32136
785	117485	31987
786	117642	31839
787	117775	31685
788	117928	31537
789	118085	31389
790	118223	31237
791	118325	31075
792	118491	30930
793	118674	30789
794	118837	30643
795	119004	30498
796	119176	30354
797	119341	30209
798	119505	30063
799	119661	29915
800	119754	29751
801	119938	29610
802	120107	29465
803	120299	29326
804	120472	29182
805	120662	29042
806	120799	28890
807	121015	28756
808	121176	28609
809	121326	28459
810	121413	28294
811	121581	28149
812	121687	27989
813	121856	27844
814	121990	27691
815	122137	27540
816	122248	27382
817	122424	27238
818	122575	27089
819	122670	26927
820	122765	26766
821	122938	26621
822	123106	26476
823	123250	26325
824	123423	26180
825	123557	26027
826	123707	25878
827	123839	25725
828	124019	25581
829	124134	25425
830	124279	25274
831	124436	25126
832	124606	24981
833	124761	24832
834	124847	24670
835	124960	24513
836	125067	24356
837	125151	24193
838	125317	24047
839	125452	23895
840	125636	23752
841	125739	23594
842	125908	23449
843	126084	23304
844	126234	23155
845	126420	23012
846	126531	22856
847	126688	22708
848	126803	22552
849	126889	22392
850	127035	22242
851	127221	22099
852	127391	21953
853	127544	21805
854	127695	21656
855	127832	21504
856	128003	21358
857	128160	21210
858	128258	21052
859	128343	20893
860	128507	20746
861	128595	20587
862	128784	20444
863	128870	20285
864	129044	20139
865	129224	19995
866	129343	19841
867	129490	19692
868	129662	19546
869	129851	19403
870	129936	19244
871	130116	19099
872	130295	18954
873	130448	18806
874	130624	18660
875	130792	18514
876	130987	18371
877	131176	18227
878	131353	18081
879	131516	17934
880	131622	17778
881	131822	17636
882	131909	17478
883	132022	17324
884	132177	17175
885	132388	17034
886	132547	16885
887	132722	16739
888	132905	16594
889	133071	16447
890	133264	16302
891	133354	16146
892	133444	15989
893	133584	15838
894	133700	15685
895	133885	15540
896	134037	15391
897	134133	15235
898	134292	15087
899	134380	14931
900	134549	14783
901	134735	14638
902	134872	14487
903	135054	14342
904	135205	14192
905	135368	14044
906	135544	13898
907	135715	13750
908	135875	13602
909	136030	13453
910	136157	13301
911	136300	13151
912	136467	13004
913	136605	12853
914	136751	12703
915	136923	12556
916	137187	12417
917	137353	12269
918	137547	12123
919	137735	11977
920	137916	11830
921	138058	11679
922	138230	11531
923	138380	11381
924	138553	11234
925	138694	11083
926	138864	10935
927	139032	10787
928	139158	10635
929	139315	10486
930	139410	10332
931	139498	10178
932	139655	10028
933	139742	9874
934	139865	9723
935	139970	9570
936	140139	9422
937	140291	9272
938	140456	9124
939	140607	8974
940	140730	8823
941	140895	8675
942	141049	8525
943	141237	8378
944	141402	8229
945	141560	8080
946	141684	7929
947	141858	7781
948	142027	7632
949	142199	7484
950	142366	7335
951	142541	7186
952	142720	7038
953	142863	6888
954	142962	6736
955	143178	6589
956	143330	6440
957	143512	6291
958	143667	6142
959	143843	5993
960	144055	5846
961	144230	5697
962	144416	5548
963	144526	5397
964	144625	5245
965	144855	5098
966	145034	4949
967	145224	4800
968	145327	4649
969	145428	4497
970	145594	4348
971	145689	4196
972	145793	4045
973	145945	3895
974	146129	3746
975	146243	3596
976	146454	3447
977	146647	3298
978	146813	3149
979	147005	3000
980	147187	2850
981	147334	2700
982	147501	2550
983	147666	2401
984	147818	2251
985	147988	2101
986	148166	1951
987	148332	1801
988	148437	1650
989	148593	1500
990	148751	1350
991	148849	1200
992	149016	1050
993	149184	900
994	149357	750
995	149512	600
996	149600	450
997	149745	300
998	149912	150
999	150076	0
