iter	RMSE
286	357.8865278
287	357.4573319
288	357.289366
289	357.0679497
290	356.7620502
291	356.1774612
292	356.1090501
293	355.9724442
294	355.8250512
295	355.6186299
296	355.4186478
297	354.6802938
298	354.4364796
299	354.374902
300	353.989968
301	353.8170913
302	353.7625645
303	353.5461878
304	353.1909129
305	352.9642846
306	352.6366232
307	352.3764742
308	352.3343381
309	352.0724965
310	351.9941416
311	351.7607363
312	351.4566623
313	351.2305594
314	351.1346011
315	350.8648733
316	350.7499325
317	350.6233037
318	350.0865326
319	349.3562348
320	349.0814435
321	348.9040807
322	348.6555811
323	348.5899095
324	348.5398184
325	348.4479732
326	348.345248
327	347.7930919
328	347.3050881
329	346.5884504
330	346.1460241
331	345.9565297
332	345.7225507
333	345.4041473
334	344.7026541
335	344.2780576
336	344.0567907
337	343.6861613
338	342.9991452
339	342.8972272
340	342.8474183
341	342.4975868
342	342.1458993
343	341.9238146
344	341.7309219
345	341.5768999
346	341.4050046
347	341.0948776
348	340.4205496
349	340.1252862
350	339.9777374
351	339.3183623
352	339.0556538
353	338.974956
354	338.3310662
355	338.073279
356	337.9656596
357	337.7478852
358	337.6006643
359	336.9706722
360	336.8715646
361	336.8232424
362	336.6539364
363	336.5946328
364	336.2946709
365	336.1413182
366	335.898937
367	335.7208947
368	335.6887894
369	335.071003
370	334.8947151
371	334.2914839
372	333.702453
373	333.4805747
374	333.3531865
375	333.3479826
376	333.1927305
377	332.7983755
378	332.2217872
379	332.0210755
380	331.4577225
381	331.3318851
382	331.1444646
383	330.5939695
384	330.5497243
385	330.4955433
386	330.4687592
387	330.4564977
388	330.061414
389	329.5232225
390	329.3612659
391	329.0029394
392	328.9317019
393	328.7389058
394	328.5552698
395	328.2356832
396	328.1850033
397	328.1455943
398	327.9935949
399	327.8620069
400	327.8500807
401	327.7631356
402	327.7138608
403	327.6844135
404	327.5487683
405	327.537569
406	327.4580578
407	327.3851905
408	327.3745899
409	327.2576464
410	327.2380284
411	327.1712868
412	326.9538822
413	326.9356486
414	326.7448348
415	326.7293815
416	326.6910052
417	326.6716158
418	326.3589137
419	326.2708758
420	326.2041074
421	326.1600835
422	326.0989733
423	326.0892311
424	325.959944
425	325.9155797
426	325.9057164
427	325.8721506
428	325.7223101
429	325.6292956
430	325.5821699
431	325.5725917
432	325.570744
433	325.5613512
434	325.5222615
435	325.4663731
436	325.37974
437	325.3250386
438	325.3165197
439	325.3076446
440	325.2672528
441	325.1631812
442	325.0293659
443	325.0207425
444	324.9695821
445	324.9227116
446	324.7357734
447	324.6888853
448	324.672171
449	324.6534199
450	324.651666
451	324.4846419
452	324.4764612
453	324.4339875
454	324.3538745
455	324.2798383
456	324.2408626
457	324.2051064
458	324.1774662
459	324.1695857
460	324.1631914
461	324.0800544
462	324.0738997
463	324.0679926
464	323.8773277
465	323.8255618
466	323.5493863
467	323.5436979
468	323.5382373
469	323.3406752
470	323.1687086
471	323.0426503
472	323.0040754
473	322.9298911
474	322.8542666
475	322.6963969
476	322.5382778
477	322.5186967
478	322.3972863
479	322.271821
480	321.9310543
481	321.9213122
482	321.8616214
483	321.5478245
484	321.5159833
485	321.3572314
486	321.2650704
487	321.1683599
488	321.1499393
489	320.7881927
490	320.7706719
491	320.683182
492	320.5128985
493	320.4771676
494	320.472084
495	320.4042057
496	320.2666446
497	319.9853527
498	319.8905021
499	319.7473739
500	319.7425106
501	319.7378409
502	319.708639
503	319.4767316
504	319.4157327
505	319.3917643
506	319.2785797
507	319.2403878
508	319.2358782
509	319.202431
510	319.1248745
511	319.0945033
512	319.0415972
513	318.7824026
514	318.6168433
515	318.6011174
516	318.4752433
517	318.2803968
518	318.1424509
519	318.0746022
520	318.0607166
521	317.9967839
522	317.9494322
523	317.8832225
524	317.8672566
525	317.694281
526	317.6223615
527	317.5182025
528	317.4051375
529	317.3864709
530	317.3111954
531	317.1549925
532	317.063135
533	317.0018027
534	316.9716155
535	316.873458
536	316.8632481
537	316.7693591
538	316.7113705
539	316.623047
540	316.5682893
541	316.5540662
542	316.5281531
543	316.4847024
544	316.3512753
545	316.3465786
546	316.3112775
547	316.3067455
548	316.1792753
549	316.1554118
550	316.0326819
551	316.0048368
552	315.9483709
553	315.7971571
554	315.7204243
555	315.7058279
556	315.6173493
557	315.5893761
558	315.5404768
559	315.5362172
560	315.4395995
561	315.2421716
562	315.2188865
563	315.1985074
564	315.1045416
565	314.9644647
566	314.8519137
567	314.7485404
568	314.7063417
569	314.6382734
570	314.5569433
571	314.5145746
572	314.4439741
573	314.3985694
574	314.2593244
575	314.1654075
576	314.1120116
577	314.0715974
578	314.0336247
579	313.9746899
580	313.8939571
581	313.875826
582	313.8173226
583	313.7790598
584	313.7467604
585	313.646437
586	313.6134182
587	313.5348086
588	313.5136981
589	313.4212837
590	313.2903845
591	313.2786724
592	313.2480665
593	313.2278061
594	313.1937025
595	313.1226962
596	313.0086907
597	312.9820759
598	312.908969
599	312.8239753
600	312.685553
601	312.5814694
602	312.5694024
603	312.4689757
604	312.4129221
605	312.4024232
606	312.2488376
607	312.203708
608	312.1727221
609	312.1393051
610	312.051671
611	311.945081
612	311.8078848
613	311.7175877
614	311.6937372
615	311.5763853
616	311.450045
617	311.4365161
618	311.2224133
619	311.097505
620	311.059516
621	310.9304648
622	310.8397858
623	310.8078146
624	310.6652845
625	310.5464732
626	310.467795
627	310.4607451
628	310.3785125
629	310.3621774
630	310.2520527
631	310.1766571
632	310.0871981
633	310.0250901
634	309.9403468
635	309.922211
636	309.8987262
637	309.8399081
638	309.7945912
639	309.7561479
640	309.6209519
641	309.5730531
642	309.538051
643	309.4312543
644	309.3920538
645	309.2567143
646	309.1407915
647	309.1015007
648	309.0232619
649	308.9532336
650	308.9237555
651	308.8926505
652	308.8561038
653	308.7845971
654	308.651035
655	308.6474363
656	308.5715404
657	308.4007426
658	308.3973018
659	308.3302044
660	308.2794156
661	308.1896653
662	308.1438337
663	308.0767992
664	308.0108694
665	307.9389809
666	307.7573524
667	307.7360537
668	307.7036842
669	307.6915753
670	307.5493015
671	307.4972612
672	307.4941328
673	307.4313443
674	307.3531261
675	307.3237175
676	307.3186577
677	307.2085895
678	307.0945996
679	306.9692215
680	306.9277576
681	306.8098869
682	306.6784851
683	306.6503952
684	306.5529278
685	306.4062816
686	306.3722545
687	306.2209545
688	306.0878985
689	306.0698413
690	306.0232049
691	305.8860381
692	305.8677642
693	305.8032904
694	305.7414306
695	305.723394
696	305.6330547
697	305.5772313
698	305.5653129
699	305.5072528
700	305.5014098
701	305.3931408
702	305.3640023
703	305.2582272
704	305.2097997
705	305.1610093
706	305.0710786
707	305.0454181
708	305.0033864
709	304.8677828
710	304.7913944
711	304.7694222
712	304.695437
713	304.6162417
714	304.5339244
715	304.470903
716	304.3590333
717	304.3239722
718	304.2527435
719	304.227837
720	304.1539568
721	304.1170523
722	304.0960613
723	304.0495884
724	304.0100404
725	303.9878055
726	303.9259482
727	303.9152603
728	303.8857833
729	303.8707348
730	303.8249151
731	303.7876851
732	303.7849967
733	303.7824278
734	303.6773512
735	303.6318784
736	303.5526554
737	303.5012106
738	303.4350744
739	303.3749077
740	303.3546881
741	303.3139844
742	303.2914628
743	303.2319036
744	303.1980245
745	303.0499381
746	302.9976701
747	302.9745664
748	302.9053377
749	302.8848699
750	302.8598998
751	302.7594878
752	302.7093365
753	302.662443
754	302.6420941
755	302.6192504
756	302.599466
757	302.5536182
758	302.4452303
759	302.4039063
760	302.2813933
761	302.2141708
762	302.1704656
763	302.1058214
764	302.0580736
765	302.0375412
766	302.022854
767	302.0014908
768	301.889717
769	301.8743847
770	301.8353339
771	301.7584198
772	301.6577696
773	301.6419946
774	301.6099661
775	301.5611518
776	301.4724452
777	301.4039954
778	301.3906429
779	301.3898765
780	301.3615229
781	301.333716
782	301.2825232
783	301.2567176
784	301.2417679
785	301.1814477
786	301.1395362
787	301.0535735
788	301.0196636
789	301.0007338
790	300.9108283
791	300.8965519
792	300.8513164
793	300.8192487
794	300.6885523
795	300.6723519
796	300.6142276
797	300.5994551
798	300.5798549
799	300.5579171
800	300.5191482
801	300.5021836
802	300.4550683
803	300.3704076
804	300.3552231
805	300.289932
806	300.2484613
807	299.9076491
808	299.8246563
809	299.813198
810	299.8024376
811	299.7661966
812	299.7033692
813	299.6915865
814	299.6646243
815	299.6048274
816	299.5625974
817	299.520666
818	299.4927292
819	299.2544674
820	299.2212507
821	299.1930122
822	299.1617568
823	299.135709
824	299.0584864
825	299.0172
826	298.7139226
827	298.6509938
828	298.6177335
829	298.3746038
830	298.3487975
831	298.2224407
832	298.1834773
833	298.1040034
834	298.0434231
835	298.0189272
836	297.9668623
837	297.8537316
838	297.8231827
839	297.5452346
840	297.4737129
841	297.4012153
842	297.3449245
843	297.3229218
844	297.1657073
845	297.1552212
846	297.1303568
847	297.0628147
848	297.0120991
849	296.9890931
850	296.961346
851	296.9381243
852	296.8789226
853	296.8332636
854	296.830248
855	296.7603619
856	296.734492
857	296.7033861
858	296.679204
859	296.6565953
860	296.6399475
861	296.6187967
862	296.5890719
863	296.5692459
864	296.5419111
865	296.497995
866	296.4806118
867	296.4570994
868	296.3970736
869	296.3857728
870	296.3671851
871	296.3405209
872	296.3123453
873	296.2819672
874	296.0365501
875	295.8742875
876	295.8657419
877	295.8457065
878	295.8378198
879	295.7240081
880	295.706229
881	295.6918368
882	295.6657147
883	295.6527431
884	295.512857
885	295.3985755
886	295.1566768
887	295.1374853
888	295.0130846
889	294.9897142
890	294.929952
891	294.9118258
892	294.8947394
893	294.8738078
894	294.837832
895	294.8147835
896	294.7514229
897	294.735268
898	294.6903486
899	294.6750787
900	294.6523331
901	294.6336687
902	294.5990876
903	294.5884407
904	294.5554533
905	294.5399333
906	294.4890757
907	294.4410374
908	294.3965352
909	294.3765256
910	294.3482443
911	294.2021842
912	294.1395221
913	294.1191125
914	294.0731498
915	294.055043
916	293.9943103
917	293.9676262
918	293.9237654
919	293.8134063
920	293.79723
921	293.7685362
922	293.7560416
923	293.7316038
924	293.6968685
925	293.6697541
926	293.611509
927	293.5893484
928	293.5488606
929	293.368096
930	293.3569429
931	293.3201071
932	293.2791477
933	293.2449892
934	293.2189119
935	293.1658103
936	293.1344982
937	293.1086576
938	293.0962355
939	293.0645316
940	293.0556427
941	292.5922815
942	292.5754242
943	292.283987
944	292.2682383
945	292.2129818
946	292.1487179
947	292.1133326
948	291.8360899
949	291.7662669
950	291.7376286
951	291.71707
952	291.5830978
953	291.5603213
954	291.2971544
955	291.2768752
956	290.8692162
957	290.8526411
958	290.8345653
959	290.8134015
960	290.7370704
961	290.7176391
962	290.6752246
963	290.2774431
964	290.0392111
965	289.8049444
966	289.7459871
967	289.7384827
968	289.7037965
969	289.3209828
970	289.3142169
971	288.9406211
972	288.8372968
973	288.7781121
974	288.6882214
975	288.589088
976	288.5379434
977	288.4808124
978	288.430483
979	288.4017697
980	288.3713377
981	288.3497057
982	288.3228288
983	288.2975024
984	288.17327
985	287.8078354
986	287.7912905
987	287.7477215
988	287.3910552
989	287.3634489
990	287.3515606
991	287.0034482
992	286.9771684
993	286.9567259
994	286.8572832
995	286.8362023
996	286.4963236
997	286.4765209
998	286.4638756
999	286.4145312
